2020-06-05 07:52:10.649 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-06-05 07:52:12.035 [main] INFO  com.zhou.wetalk.WetalkApplication - Starting WetalkApplication on DESKTOP-8IBR7OQ with PID 23012 (H:\java\wetalk\target\classes started by zhouzzz in H:\java\wetalk)
2020-06-05 07:52:12.037 [main] INFO  com.zhou.wetalk.WetalkApplication - No active profile set, falling back to default profiles: default
2020-06-05 07:52:14.977 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-06-05 07:52:14.995 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-06-05 07:52:14.996 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-05 07:52:14.996 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-06-05 07:52:14.998 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.16] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2020-06-05 07:52:14.998 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2020-06-05 07:52:14.998 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-06-05 07:52:14.998 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-06-05 07:52:16.107 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2020-06-05 07:52:16.271 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wetalk] - Initializing Spring embedded WebApplicationContext
2020-06-05 07:52:16.272 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4092 ms
2020-06-05 07:52:16.678 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-06-05 07:52:16.749 [main] WARN  com.alibaba.druid.pool.DruidDataSource - removeAbandoned is true, not use in productiion.
2020-06-05 07:52:16.805 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-3} inited
2020-06-05 07:52:19.687 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-05 07:52:21.579 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-06-05 07:52:21.608 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/wetalk'
2020-06-05 07:52:21.612 [main] INFO  com.zhou.wetalk.WetalkApplication - Started WetalkApplication in 10.677 seconds (JVM running for 14.701)
2020-06-05 07:57:48.999 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wetalk] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-05 07:57:49.001 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-06-05 07:57:49.005 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
